rno,th,pr
-,41,20
101302,41,20
101303,37,18
101304,38,20
101305,39,18
101307,37,18
101309,41,20
101310,23,12
101313,34,20
101319,35,20
101320,34,18
101322,34,20
101323,37,18
101324,37,18
101327,41,20
101328,32,18
101332,38,18
101333,39,20
101334,29,14
101335,38,18
101336,39,20
101337,35,20
101339,35,20
101340,38,18
101341,38,20
101342,41,20
101346,40,20
101347,38,20
101348,41,20
101349,41,20
101351,34,18
101353,41,18
101354,33,18
101357,39,20
101358,41,16
101359,35,22
101364,34,20
101365,34,20
101366,39,20
101367,38,22
101369,34,18
101371,30,20
101372,36,20
101373,35,22
101374,35,22
101375,29,22
101376,38,22
101377,41,22
101234,29,18
101108,39,22
101266,39,22
101268,29,22
101269,35,22
101301,0,0
101306,0,0
101308,0,0
101311,0,0
101312,0,0
101314,0,0
101315,0,0
101316,0,0
101317,0,0
101321,0,0
101325,0,0
101326,0,0
101329,0,0
101330,0,0
101331,0,0
101338,0,0
101343,0,0
101344,0,0
101345,0,0
101350,0,0
101352,0,0
101355,0,0
101360,0,0
101361,0,0
101362,0,0
101363,0,0
