rno,th,pr
-,0,14
101302,0,14
101303,0,10
101304,0,12
101305,0,12
101307,0,12
101309,0,12
101310,0,12
101313,0,8
101319,0,14
101320,0,10
101322,0,12
101323,0,10
101324,0,12
101327,0,10
101328,0,14
101332,0,10
101333,0,14
101334,0,8
101335,0,10
101336,0,8
101337,0,8
101339,0,12
101340,0,10
101341,0,10
101342,0,12
101346,0,10
101347,0,10
101348,0,10
101349,0,10
101351,0,12
101353,0,12
101354,0,8
101357,0,8
101358,0,10
101359,0,10
101364,0,10
101365,0,10
101366,0,10
101367,0,12
101369,0,14
101371,0,12
101372,0,10
101373,0,10
101374,0,14
101375,0,12
101376,0,14
101377,0,12
101234,0,10
101108,0,12
101266,0,12
101268,0,10
101269,0,12
101301,0,12
101306,0,12
101308,0,14
101311,0,12
101312,0,14
101314,0,12
101315,0,12
101316,0,14
101317,0,12
101321,0,12
101325,0,14
101326,0,12
101329,0,12
101330,0,10
101331,0,14
101338,0,10
101343,0,10
101344,0,10
101345,0,14
101350,0,14
101352,0,8
101355,0,10
101360,0,14
101361,0,14
101362,0,10
101363,0,8
