rno,th,pr
-,45,20
101302,45,20
101303,41,16
101304,33,16
101305,37,16
101307,39,18
101309,45,18
101310,39,14
101313,43,12
101319,37,16
101320,38,14
101322,39,18
101323,43,18
101324,45,18
101327,45,20
101328,42,14
101332,40,16
101333,41,18
101334,41,12
101335,41,18
101336,43,18
101337,41,18
101339,37,20
101340,43,20
101341,37,18
101342,45,18
101346,43,16
101347,43,20
101348,44,16
101349,45,20
101351,41,16
101353,41,18
101354,39,18
101357,41,18
101358,41,20
101359,38,14
101364,43,18
101365,43,10
101366,41,16
101367,45,20
101369,34,18
101371,41,18
101372,37,18
101373,41,12
101374,42,8
101375,37,10
101376,40,20
101377,40,14
101234,37,10
101108,43,18
101266,41,16
101268,33,12
101269,41,14
101301,42,20
101306,41,16
101308,39,16
101311,39,16
101312,43,20
101314,41,20
101315,35,16
101316,34,8
101317,35,16
101321,45,18
101325,35,16
101326,43,16
101329,41,14
101330,45,20
101331,39,18
101338,38,12
101343,45,18
101344,31,16
101345,38,14
101350,41,20
101352,37,8
101355,37,14
101360,43,18
101361,41,20
101362,37,18
101363,33,14
