rno,26-Jan,pqbe,ut1,ut2,fest,prelims
-,6,6,4,4,12,12
101302,6,6,4,4,12,12
101303,6,6,4,4,12,12
101304,0,6,4,4,12,12
101305,0,6,4,4,12,12
101307,6,6,4,4,12,12
101309,6,6,4,4,12,12
101310,6,6,4,4,12,12
101313,6,6,4,4,12,12
101319,6,6,4,4,12,12
101320,6,6,4,4,12,12
101322,6,6,4,4,12,12
101323,6,6,4,4,12,12
101324,6,6,4,4,12,12
101327,6,6,4,4,12,12
101328,6,6,4,4,12,12
101332,6,6,4,4,12,12
101333,6,6,4,4,12,12
101334,0,6,4,4,12,12
101335,6,6,4,4,12,12
101336,6,6,4,4,12,12
101337,6,6,4,4,12,12
101339,0,6,4,4,12,12
101340,0,6,4,4,12,12
101341,6,6,4,4,12,12
101342,6,6,4,4,12,12
101346,6,6,4,4,12,12
101347,6,6,4,4,12,12
101348,0,6,4,4,12,12
101349,6,6,4,4,12,12
101351,0,6,4,4,12,12
101353,6,6,4,4,12,12
101354,6,6,4,4,12,12
101357,6,6,4,4,12,12
101358,6,6,4,4,12,12
101359,6,6,4,4,12,12
101364,0,6,4,4,12,12
101365,6,6,4,4,12,12
101366,6,6,4,4,12,12
101367,6,6,4,4,12,12
101369,6,6,4,4,12,12
101371,0,6,4,4,12,12
101372,6,6,4,4,12,12
101373,6,6,4,4,12,12
101374,6,6,4,4,12,12
101375,0,6,4,4,12,12
101376,6,6,4,4,12,12
101377,6,6,4,4,12,12
101234,0,6,4,4,12,12
101108,6,6,4,4,12,12
101266,0,6,4,4,12,12
101268,0,6,4,4,12,12
101269,0,6,4,4,12,12
101301,0,6,4,4,12,12
101306,6,6,4,4,12,12
101308,6,6,4,4,12,12
101311,6,6,4,4,12,12
101312,6,6,4,4,12,12
101314,6,6,4,4,12,12
101315,6,6,4,4,12,12
101316,6,6,4,4,12,12
101317,6,6,4,4,12,12
101321,6,6,4,4,12,12
101325,6,6,4,4,12,12
101326,6,6,4,4,12,12
101329,6,6,4,4,12,12
101330,6,6,4,4,12,12
101331,6,6,4,4,12,12
101338,6,6,4,4,12,12
101343,6,6,4,4,12,12
101344,6,6,4,4,12,12
101345,6,6,4,4,12,12
101350,6,6,4,4,12,12
101352,6,6,4,4,12,12
101355,6,6,4,4,12,12
101360,6,6,4,4,12,12
101361,6,6,4,4,12,12
101362,6,6,4,4,12,12
101363,6,6,4,4,12,12
