rno,th,pr
-,40,18
101302,38,16
101303,30,14
101304,29,18
101305,30,18
101307,34,20
101309,38,20
101310,19,16
101313,26,18
101319,28,16
101320,38,16
101322,26,20
101323,38,20
101324,36,18
101327,36,18
101328,27,20
101332,34,16
101333,37,20
101334,27,10
101335,36,16
101336,40,18
101337,29,14
101339,34,14
101340,36,18
101341,34,16
101342,40,18
101346,27,16
101347,38,16
101348,35,16
101349,38,18
101351,32,18
101353,36,18
101354,29,12
101357,36,18
101358,38,16
101359,34,7
101364,34,16
101365,33,14
101366,37,16
101367,38,14
101369,33,16
101371,23,14
101372,32,10
101373,32,10
101374,30,10
101375,29,12
101376,39,14
101377,39,12
101234,22,12
101108,35,16
101266,36,12
101268,25,12
101269,33,14
101301,40,16
101306,39,14
101308,34,20
101311,28,18
101312,35,20
101314,39,20
101315,30,20
101316,28,14
101317,24,18
101321,38,16
101325,31,18
101326,37,18
101329,34,18
101330,40,20
101331,34,20
101338,24,16
101343,40,20
101344,28,20
101345,30,16
101350,36,18
101352,32,16
101355,22,12
101360,40,18
101361,34,18
101362,32,14
101363,33,16
