rno,th,pr
-,35,20
101302,0,0
101303,0,0
101304,0,0
101305,0,0
101307,0,0
101309,0,0
101310,0,0
101313,0,0
101319,0,0
101320,0,0
101322,0,0
101323,0,0
101324,0,0
101327,0,0
101328,0,0
101332,0,0
101333,0,0
101334,0,0
101335,0,0
101336,0,0
101337,0,0
101339,0,0
101340,0,0
101341,0,0
101342,0,0
101346,0,0
101347,0,0
101348,0,0
101349,0,0
101351,0,0
101353,0,0
101354,0,0
101357,0,0
101358,0,0
101359,0,0
101364,0,0
101365,0,0
101366,0,0
101367,0,0
101369,0,0
101371,0,0
101372,0,0
101373,0,0
101374,0,0
101375,0,0
101376,0,0
101377,0,0
101234,0,0
101108,0,0
101266,0,0
101268,0,0
101269,0,0
101301,30,20
101306,31,18
101308,35,20
101311,28,18
101312,33,16
101314,35,14
101315,34,18
101316,34,20
101317,32,20
101321,35,20
101325,33,18
101326,29,20
101329,29,16
101330,35,20
101331,33,20
101338,35,18
101343,35,20
101344,32,18
101345,33,20
101350,35,20
101352,31,18
101355,31,18
101360,35,20
101361,35,20
101362,32,20
101363,28,16
