rno,th,pr
-,43,14
101302,42,14
101303,39,10
101304,35,12
101305,31,10
101307,39,8
101309,42,14
101310,22,8
101313,29,12
101319,43,10
101320,32,10
101322,29,12
101323,43,14
101324,41,12
101327,42,14
101328,25,10
101332,40,12
101333,43,12
101334,33,16
101335,41,20
101336,41,20
101337,39,16
101339,39,16
101340,40,14
101341,43,16
101342,43,18
101346,31,18
101347,43,18
101348,37,20
101349,43,20
101351,33,14
101353,39,18
101354,31,14
101357,41,20
101358,40,16
101359,36,14
101364,37,18
101365,42,16
101366,42,12
101367,38,18
101369,34,16
101371,35,10
101372,37,18
101373,41,16
101374,36,10
101375,35,12
101376,42,20
101377,43,16
101234,31,12
101108,39,20
101266,37,16
101268,28,18
101269,41,14
101301,43,8
101306,43,14
101308,39,12
101311,33,10
101312,41,14
101314,39,10
101315,31,10
101316,31,14
101317,32,10
101321,42,12
101325,37,12
101326,41,14
101329,41,8
101330,41,14
101331,41,12
101338,28,6
101343,43,14
101344,35,10
101345,37,14
101350,39,14
101352,25,12
101355,34,6
101360,43,14
101361,39,12
101362,34,10
101363,29,12
